Date,Open*,High,Low,Close**,Volume,MarketCap
24-Nov-17,3.907089821,3.922941254,3.899871368,3.916648153,9.704031198,11.12974144
23-Nov-17,3.915525409,3.917368951,3.905189603,3.905189603,9.625845215,11.13812579
22-Nov-17,3.907301161,3.91919633,3.907167808,3.916640787,9.56032875,11.12985417
21-Nov-17,3.914117752,3.921616775,3.890013362,3.906941337,9.631201186,11.13661594
20-Nov-17,3.90520581,3.921002508,3.900332165,3.913847747,9.542632503,11.12764571
19-Nov-17,3.890199064,3.908587415,3.886157827,3.905066409,9.498216791,11.11258825
18-Nov-17,3.886333335,3.896801147,3.872939046,3.89154582,9.564333412,11.10864957
17-Nov-17,3.895067119,3.903339092,3.878584408,3.886997482,9.667608897,11.11735748
16-Nov-17,3.864703267,3.901315531,3.85591753,3.896067983,9.709593017,11.08694324
15-Nov-17,3.821825218,3.865829168,3.821825218,3.864246389,9.623340276,11.04401814
14-Nov-17,3.817001809,3.830266517,3.810350151,3.821890016,9.504757579,11.03915227
13-Nov-17,3.773658477,3.833222995,3.766731758,3.816870074,9.796799747,10.99576239
12-Nov-17,3.799026779,3.82118916,3.741861181,3.774522075,9.952179544,11.02110657
11-Nov-17,3.820766791,3.837155822,3.792687189,3.8032932,9.690964721,11.04281956
10-Nov-17,3.855745027,3.864036183,3.808674738,3.82073595,9.716691823,11.0777566
9-Nov-17,3.87197144,3.87197144,3.851351314,3.853915913,9.508698018,11.09393273
8-Nov-17,3.853782143,3.890779709,3.852115082,3.87272078,9.662965488,11.07569657
7-Nov-17,3.846528852,3.860536838,3.846528852,3.853964546,9.366673188,11.06839368
6-Nov-17,3.869420655,3.871909617,3.845551331,3.846507827,9.493025633,11.09124125
5-Nov-17,3.869496911,3.881811323,3.865292938,3.869666384,9.376651766,11.09127292
4-Nov-17,3.855184675,3.874647618,3.847034393,3.868053419,9.395116623,11.07691702
3-Nov-17,3.85049491,3.87281392,3.845280405,3.857800317,9.527611859,11.07219106
2-Nov-17,3.831086827,3.867310123,3.829864455,3.849941236,9.667804916,11.05273241
1-Nov-17,3.808951276,3.830416071,3.804676344,3.830416071,9.457930317,11.0305471
31-Oct-17,3.787603563,3.810933143,3.785566852,3.810796868,9.363871351,11.00915333
30-Oct-17,3.786385808,3.793440434,3.781098052,3.787498022,9.248500479,11.00788854
29-Oct-17,3.760003066,3.796276608,3.757743629,3.789146906,9.456220231,10.98145526
28-Oct-17,3.762515016,3.769134999,3.755050438,3.759901168,9.147342361,10.98394006
27-Oct-17,3.770832873,3.777310076,3.758065177,3.761995457,9.233029126,10.99222381
26-Oct-17,3.759512982,3.776468723,3.757488648,3.771207399,9.279904099,10.98084432
25-Oct-17,3.742300839,3.759994764,3.732223226,3.759728264,9.293802152,10.96357157
24-Oct-17,3.773458773,3.773458773,3.740692628,3.742461176,9.43706847,10.99467606
23-Oct-17,3.778585328,3.783588459,3.758341791,3.773078129,9.380544073,10.9997463
22-Oct-17,3.780796716,3.783636349,3.762854046,3.778760283,9.308485444,11.00189806
21-Oct-17,3.777918841,3.792032898,3.775615544,3.780432533,9.343822011,10.99897037
20-Oct-17,3.756492334,3.782480507,3.750294666,3.778979239,9.371885783,10.97748536
19-Oct-17,3.746925188,3.759240893,3.74280837,3.756523527,9.250551735,10.96786142
18-Oct-17,3.748484177,3.748484177,3.711928646,3.747465412,9.380079124,10.96937024
17-Oct-17,3.75903142,3.7634542,3.738203229,3.748615132,9.260445865,10.97986374
16-Oct-17,3.754926755,3.761644478,3.743839672,3.757820246,9.302778848,10.97570287
15-Oct-17,3.766112307,3.767339938,3.738670386,3.754209921,9.295795732,10.98682501
14-Oct-17,3.751550838,3.766241773,3.747539203,3.765801877,9.222464143,10.97221673
13-Oct-17,3.737523408,3.766435156,3.735347351,3.751833938,9.558165963,10.95814515
12-Oct-17,3.683909364,3.736150199,3.683227206,3.736150199,9.445854745,10.9044813
11-Oct-17,3.680267508,3.687861466,3.676842616,3.683630511,9.087170706,10.90079411
10-Oct-17,3.679083414,3.692156609,3.678072019,3.679608664,9.203342987,10.89955678
9-Oct-17,3.664126533,3.688305004,3.659369424,3.678702255,9.294188365,10.88454899
8-Oct-17,3.646371374,3.665030974,3.644009007,3.663746142,9.118552396,10.86673263
7-Oct-17,3.640416835,3.647762323,3.635589292,3.646098731,8.95757281,10.8607278
6-Oct-17,3.635931884,3.644760498,3.635537025,3.640561928,9.029359424,10.85618856
5-Oct-17,3.626328047,3.639749377,3.619515936,3.636328392,9.065120158,10.84654555
